epoch,train_loss,val_loss,val_mIoU,val_mDICE,val_flood_IoU,val_flood_F1,val_flood_Precision,val_flood_Recall
3,0.511384,0.414921,0.691058,0.768600,0.516548,0.679569,0.521637,0.986241
4,0.349885,0.232426,0.815586,0.857503,0.784526,0.877390,0.802057,0.975650
5,0.279201,0.198827,0.825627,0.863762,0.805288,0.890714,0.811103,0.990690
6,0.241868,0.238015,0.750412,0.814488,0.643880,0.782124,0.650260,0.987842
7,0.232794,0.200937,0.800865,0.848434,0.749757,0.855839,0.751485,0.996644
8,0.228480,0.243993,0.841440,0.872638,0.837653,0.909190,0.935491,0.893524
9,0.211625,0.165044,0.851577,0.879187,0.863268,0.925601,0.876124,0.983589
10,0.195078,0.165487,0.825930,0.863614,0.805453,0.890053,0.808537,0.995289
11,0.188317,0.185880,0.790852,0.842096,0.728538,0.842048,0.730566,0.996022
12,0.187865,0.155314,0.847465,0.876925,0.854922,0.920938,0.869671,0.981756
13,0.178779,0.150764,0.851030,0.878911,0.862144,0.925027,0.874360,0.984512
14,0.177446,0.195867,0.863552,0.885832,0.889031,0.940051,0.941543,0.941572
